city,population_proper
"Yale, VA",
"New Baltimore, VA",
"Syria, VA",
"Idylwood, VA",
"Urbanna, VA",470
"Haysi, VA",474
"Virgilina, VA",142
"Mouth of Wilson, VA",
"Round Hill, VA",659
"Williamsville, VA",
"Whitesville, VA",
"Catlett, VA",
"Ebony, VA",
"Coeburn, VA",1986
"Bassett, VA",
"Purcellville, VA",9469
"Arlington, VA",
"Blackstone, VA",3453
"New River, VA",
"Twin Lakes, VA",
"Stanleytown, VA",
"Appalachia, VA",1654
"Heathsville, VA",
"Covington, VA",5518
"Amonate, VA",
"Charlottesville, VA",46912
"Rural Retreat, VA",1480
"Vansant, VA",
"Smithfield, VA",8435
"Lake Monticello, VA",
"Villa Heights, VA",
"West Springfield, VA",
"Waverly, VA",2050
"Abbott, VA",
"Burkeville, VA",406
"Wallace, VA",
"Bull Run Mountain Estates, VA",
"Falling Spring, VA",
"Chase Crossing, VA",
"Tazewell, VA",4365
"Benns Church, VA",
"Cullen, VA",
"Esmont, VA",
"Lovettsville, VA",1985
"Seven Mile Ford, VA",
"Brooke, VA",
"Achilles, VA",
"Lewisetta, VA",
"Boones Mill, VA",232
"Atkins, VA",
"Norfolk, VA",245115
"Belle Haven, VA",528
"Ladysmith, VA",
"Whaleyville, VA",
"Middletown, VA",1334
"Blue Ridge Shores, VA",
"Montclair, VA",
"Dumfries, VA",5186
"Stuart, VA",1376
"Berryville, VA",4304
"Templeton, VA",
"Winterpock, VA",
"Stevens Creek, VA",
"Millboro, VA",
"Bracey, VA",
"Stanley, VA",1648
"Buchanan, VA",1173
"Gretna, VA",1237
"Elkton, VA",2850
"Moneta, VA",
"Glen Wilton, VA",
"Eggleston, VA",
"Yogaville, VA",
"Damascus, VA",797
"Rushmere, VA",
"Petersburg, VA",31882
"Dumbarton, VA",
"Fort Hunt, VA",
"Goldvein, VA",
"Prices Fork, VA",
"Rio, VA",
"Claremont, VA",346
"Sussex, VA",
"Hurt, VA",1265
"Fort Chiswell, VA",
"Hallwood, VA",204
"Pungoteague, VA",
"Hot Springs, VA",
"Manchester, VA",
"Sandy Level, VA",
"Chatham, VA",1473
"West Falls Church, VA",
"Weyers Cave, VA",
"Walkerton, VA",
"Pearisburg, VA",2699
"Enon, VA",
"Arvonia, VA",
"Isle of Wight, VA",
"Daleville, VA",
"Matoaca, VA",
"Fair Oaks, VA",
"Temperanceville, VA",
"Gratton, VA",
"Franconia, VA",
"Collinsville, VA",
"Windsor, VA",2683
"Cats Bridge, VA",
"Parksley, VA",841
"Bland, VA",
"Huntington, VA",
"Brightwood, VA",
"Sanford, VA",
"Chincoteague, VA",2919
"Sperryville, VA",
"Waterford, VA",
"Sugarland Run, VA",
"Tiptop, VA",
"Deerfield, VA",
"Meadowbrook, VA",
"Selma, VA",
"Churchville, VA",
"Springville, VA",
"Shenandoah, VA",2334
"Saxe, VA",
"Parrott, VA",
"Altavista, VA",3468
"Potomac Mills, VA",
"Great Falls, VA",
"Naruna, VA",
"Clifton Forge, VA",3715
"Skyland Estates, VA",
"Lynch Station, VA",
"Claypool Hill, VA",
"Fries, VA",467
"La Crosse, VA",584
"Glade Spring, VA",1448
"Falls Church, VA",14014
"Dunn Loring, VA",
"Pound, VA",954
"Rocky Mount, VA",4798
"Concord, VA",
"Grottoes, VA",2799
"Modest Town, VA",
"Fairlawn, VA",
"Galax, VA",6775
"Farmville, VA",8140
"University Center, VA",
"Lively, VA",
"Nethers, VA",
"Hampden Sydney, VA",
"Saxis, VA",239
"Sutherland, VA",
"Brodnax, VA",279
"Stanardsville, VA",384
"Purdy, VA",
"Highland Springs, VA",
"Massanetta Springs, VA",
"Martinsville, VA",13445
"Chantilly, VA",
"New Hope, VA",
"Dry Fork, VA",
"Toano, VA",
"Saluda, VA",
